userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean,title_clean_language,title_clean_language_confidence,title_clean_translated,review_clean_language,review_clean_language_confidence,review_clean_translated,title_sentiment_positive,title_sentiment_negative,title_sentiment_neutral,title_sentiment_compound,title_sentiment_class,title_sentiment_intensity,review_sentiment_positive,review_sentiment_negative,review_sentiment_neutral,review_sentiment_compound,review_sentiment_class,review_sentiment_intensity
Dani’jhaye Guyton,I hate TikTok not even fun at all such a piss of,1,2025-08-16 23:40:27+00:00,41.2.0,False,0,I gave it a 1 star,,us,I hate TikTok not even fun at all such a piss of,I gave it a 1 star,i hate tiktok not even fun at all such a piss of,i gave it a 1 star,I hate TikTok not even fun at all such a piss of I gave it a 1 star,i hate tiktok not even fun at all such a piss of i gave it a 1 star,67,18,True,True,Dani’jhaye Guyton,en,1.0,I hate TikTok not even fun at all such a piss of,sq,0.8,I i dhashë një yll.,0.0,0.503,0.497,-0.8443,negative,very_strong,0.0,0.0,1.0,0.0,neutral,neutral
BriDonn,Guidelines,3,2025-08-16 23:04:33+00:00,41.2.0,False,0,Blocking everything but racist comments from bots and people with no pfp.,,us,Guidelines,Blocking everything but racist comments from bots and people with no pfp.,guidelines,blocking everything but racist comments from bots and people with no pfp.,Guidelines Blocking everything but racist comments from bots and people with no pfp.,guidelines blocking everything but racist comments from bots and people with no pfp.,84,13,True,True,BriDonn,es,0.8500000000000001,Directrices,en,1.0,Blocking everything but racist comments from bots and people with no pfp.,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.529,0.471,-0.8779,negative,very_strong
Boomdome,Messenger says no,5,2025-08-16 22:46:27+00:00,41.2.0,False,0,"When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.",,us,Messenger says no,"When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.",messenger says no,"when anyone sends me a video from tik tok on messenger and i click on it, it just sends me to the application store. i can never see the video that people send me on messenger.","Messenger says no When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.","messenger says no when anyone sends me a video from tik tok on messenger and i click on it, it just sends me to the application store. i can never see the video that people send me on messenger.",186,39,True,True,Boomdome,no,0.8,Budbringer sier nei,en,1.0,"When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.",0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
Eeekkk1233,Eekkkkk,5,2025-08-16 22:27:44+00:00,41.2.0,False,0,Love this app harassed my ex on it enough we got back tg 😝,,us,Eekkkkk,Love this app harassed my ex on it enough we got back tg 😝,eekkkkk,love this application harassed my ex on it enough we got back tg,Eekkkkk Love this app harassed my ex on it enough we got back tg 😝,eekkkkk love this application harassed my ex on it enough we got back tg,66,15,True,True,Eeekkk1233,et,0.8,Yikes,en,1.0,Love this app harassed my ex on it enough we got back tg 😝,0.0,0.0,1.0,0.0,neutral,neutral,0.185,0.154,0.661,0.1779,positive,weak
To be a great day to be a,To be a great day to be a great da,5,2025-08-16 22:19:22+00:00,41.2.0,False,0,Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,,us,To be a great day to be a great da,Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,to be a great day to be a great da,be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,To be a great day to be a great da Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,to be a great day to be a great da be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,286,80,True,True,To be a great day to be a,en,1.0,To be a great day to be a great da,en,1.0,Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,0.506,0.0,0.494,0.8481,positive,very_strong,0.506,0.0,0.494,0.996,positive,very_strong
Bro dontneednomfname,Problems,2,2025-08-16 22:17:01+00:00,41.2.0,False,0,First of all all day u have been having issues with my app bro it’s making me mad and annoyed,,us,Problems,First of all all day u have been having issues with my app bro it’s making me mad and annoyed,problems,first of all all day u have been having issues with my application bro it s making me mad and annoyed,Problems First of all all day u have been having issues with my app bro it’s making me mad and annoyed,problems first of all all day u have been having issues with my application bro it s making me mad and annoyed,102,21,True,True,Bro dontneednomfname,sl,0.8,Težave,en,1.0,First of all all day u have been having issues with my app bro it’s making me mad and annoyed,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.244,0.756,-0.7003,negative,strong
Taylor189,Leaving sept 13 you sell outs,1,2025-08-16 22:16:43+00:00,41.2.0,False,0,"I used to go on everyday for hours but open maybe 3 times a week. After yall came back  after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine...but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs",,us,Leaving sept 13 you sell outs,"I used to go on everyday for hours but open maybe 3 times a week. After yall came back after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs",leaving sept 13 you sell outs,"i used to go on everyday for hours but open maybe 3 times a week. after yall came back after the shutdown yall seem bought out. i would ve rather yall just shut down than be sold. nothing but adds now. my fyp is rarely what it used to be. i report clearly racist comments content all the time and yall say it is fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. straight trash of you. but what has broken the straw is your new policies. so just take our free speech away? that is what makes tiktok tiktok. plus a few other new changes. yea i am leaving when that happens, bunch of sell outs","Leaving sept 13 you sell outs I used to go on everyday for hours but open maybe 3 times a week. After yall came back after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs","leaving sept 13 you sell outs i used to go on everyday for hours but open maybe 3 times a week. after yall came back after the shutdown yall seem bought out. i would ve rather yall just shut down than be sold. nothing but adds now. my fyp is rarely what it used to be. i report clearly racist comments content all the time and yall say it is fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. straight trash of you. but what has broken the straw is your new policies. so just take our free speech away? that is what makes tiktok tiktok. plus a few other new changes. yea i am leaving when that happens, bunch of sell outs",733,142,True,True,Taylor189,fr,1.0,Leaving sept 13 you sell outs,en,1.0,"I used to go on everyday for hours but open maybe 3 times a week. After yall came back after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs",0.0,0.0,1.0,0.0,neutral,neutral,0.066,0.105,0.83,-0.7949,negative,strong
Keiyzirah,HIII,5,2025-08-16 21:38:15+00:00,41.2.0,False,0,I love your app except for the fact it says 12+ but u age retrict 12 year olds,,us,HIII,I love your app except for the fact it says 12+ but u age retrict 12 year olds,hiii,i love your application except for the fact it says 12 but u age retrict 12 year olds,HIII I love your app except for the fact it says 12+ but u age retrict 12 year olds,hiii i love your application except for the fact it says 12 but u age retrict 12 year olds,83,19,True,True,Keiyzirah,unknown,0.0,HIII,en,1.0,I love your app except for the fact it says 12+ but u age retrict 12 year olds,0.0,0.0,1.0,0.0,neutral,neutral,0.133,0.0,0.867,0.3818,positive,moderate
FartNuggets_69😼,It's tiktok,5,2025-08-16 20:51:33+00:00,41.2.0,False,0,What else u want from me gng,,us,It's tiktok,What else u want from me gng,it is tiktok,what else u want from me gng,It's tiktok What else u want from me gng,it is tiktok what else u want from me gng,40,9,True,True,FartNuggets_69😼,sq,0.8,It's TikTok,en,1.0,What else u want from me gng,0.0,0.0,1.0,0.0,neutral,neutral,0.178,0.0,0.822,0.0772,positive,neutral
Andiddyyyy,I love TikTok,5,2025-08-16 20:44:41+00:00,41.2.0,False,0,I love TikTok so much I love it so much I love it so much,,us,I love TikTok,I love TikTok so much I love it so much I love it so much,i love tiktok,i love tiktok so much i love it so much i love it so much,I love TikTok I love TikTok so much I love it so much I love it so much,i love tiktok i love tiktok so much i love it so much i love it so much,71,18,True,True,Andiddyyyy,sl,0.8,Mam rad TikTok.,sk,0.95,"Milujem TikTok tak veľmi, milujem ho tak veľmi, milujem ho tak veľmi.",0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
luisgamercool23woeo,hi,5,2025-08-16 20:36:19+00:00,41.2.0,False,0,where are the stickers.,,us,hi,where are the stickers.,hi,where are the stickers.,hi where are the stickers.,hi where are the stickers.,26,5,True,True,luisgamercool23woeo,unknown,0.0,hi,en,1.0,where are the stickers.,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
AAJAJAJAJANANANNAJ,I HATE TIKTOK,1,2025-08-16 20:27:59+00:00,41.2.0,False,0,TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,,us,I HATE TIKTOK,TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,i hate tiktok,tiktok hlt be banned for no reason i hate tiktpk aaaaaaaaaaa i vant talk to my friends now,I HATE TIKTOK TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,i hate tiktok tiktok hlt be banned for no reason i hate tiktpk aaaaaaaaaaa i vant talk to my friends now,104,21,True,True,AAJAJAJAJANANANNAJ,en,0.8500000000000001,I HATE TIKTOK,en,1.0,TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,0.0,0.649,0.351,-0.5719,negative,moderate,0.119,0.342,0.538,-0.7003,negative,strong
